Dataset,Method,Samples,TP,FP,TN,FN,Precision,Recall,F1,Accuracy,AUC
Normal (HR+HC+BN),Regex,212901,54079,19878,59783,79161,0.7312,0.4059,0.522,0.5348,0.5782
Normal (HR+HC+BN),ML-Only,212901,123704,57856,21805,9536,0.6813,0.9284,0.7859,0.6835,0.7467
Normal (HR+HC+BN),Full QuantEdge,212901,125168,57856,21805,8072,0.6839,0.9394,0.7915,0.6903,0.6712
Adversarial,Regex,220000,50000,20000,40000,110000,0.7143,0.3125,0.4348,0.4091,0.4896
Adversarial,ML-Only,220000,145158,27513,32487,14842,0.8407,0.9072,0.8727,0.8075,0.8244
Adversarial,Full QuantEdge,220000,146262,27513,32487,13738,0.8417,0.9141,0.8764,0.8125,0.7017
